[BusLocationSystem] Start Crolling
[BusLocationSystem] Url Connetion
[BusLocationSystem] Start Parse
[BusLocationSystem] 167970102 bstopId Find
[BusLocationSystem] 영주삼거리 bstopNm Find
[BusLocationSystem] 129.0332616667 gpsX Find
[BusLocationSystem] 35.1153233333 gpsY Find
[BusLocationSystem] 169310303 bstopId Find
[BusLocationSystem] 영주삼거리 bstopNm Find
[BusLocationSystem] 129.0331583333 gpsX Find
[BusLocationSystem] 35.115205 gpsY Find
[BusLocationSystem] 167970301 bstopId Find
[BusLocationSystem] 시민아파트 bstopNm Find
[BusLocationSystem] 129.0316783333 gpsX Find
[BusLocationSystem] 35.115075 gpsY Find
[BusLocationSystem] 167840102 bstopId Find
[BusLocationSystem] 시민아파트 bstopNm Find
[BusLocationSystem] 129.0318433333 gpsX Find
[BusLocationSystem] 35.1150383333 gpsY Find
[BusLocationSystem] 167970302 bstopId Find
[BusLocationSystem] 중앙공원 민주공원입구 bstopNm Find
[BusLocationSystem] 129.0298583333 gpsX Find
[BusLocationSystem] 35.1144733333 gpsY Find
[BusLocationSystem] 167840101 bstopId Find
[BusLocationSystem] 중앙공원 민주공원입구 bstopNm Find
[BusLocationSystem] 129.0301233333 gpsX Find
[BusLocationSystem] 35.11449 gpsY Find
[BusLocationSystem] 167840201 bstopId Find
[BusLocationSystem] 중앙공원 민주공원입구 bstopNm Find
[BusLocationSystem] 129.0296516667 gpsX Find
[BusLocationSystem] 35.11397 gpsY Find
[BusLocationSystem] 167970201 bstopId Find
[BusLocationSystem] 동아아파트 bstopNm Find
[BusLocationSystem] 129.0304266667 gpsX Find
[BusLocationSystem] 35.1139666667 gpsY Find
[BusLocationSystem] 168020203 bstopId Find
[BusLocationSystem] 동아아파트 bstopNm Find
[BusLocationSystem] 129.0301166667 gpsX Find
[BusLocationSystem] 35.113145 gpsY Find
[BusLocationSystem] 167660301 bstopId Find
[BusLocationSystem] 부산터널위 bstopNm Find
[BusLocationSystem] 129.031769 gpsX Find
[BusLocationSystem] 35.113068 gpsY Find
[BusLocationSystem] 167840202 bstopId Find
[BusLocationSystem] 동주파크맨션 bstopNm Find
[BusLocationSystem] 129.02967 gpsX Find
[BusLocationSystem] 35.1114416667 gpsY Find
[BusLocationSystem] 167830103 bstopId Find
[BusLocationSystem] 동주파크맨션 bstopNm Find
[BusLocationSystem] 129.029845 gpsX Find
[BusLocationSystem] 35.1113366667 gpsY Find
[BusLocationSystem] 168020202 bstopId Find
[BusLocationSystem] 금호아파트 bstopNm Find
[BusLocationSystem] 129.03072 gpsX Find
[BusLocationSystem] 35.1114966667 gpsY Find
[BusLocationSystem] 167970202 bstopId Find
[BusLocationSystem] 금호아파트 bstopNm Find
[BusLocationSystem] 129.0306866667 gpsX Find
[BusLocationSystem] 35.111095 gpsY Find
[BusLocationSystem] 167840203 bstopId Find
[BusLocationSystem] 청운아파트 bstopNm Find
